挨	ái	ทนทุกข์
驱逐	qū zhú	ขับไล่
渠道	qú dào	ช่อง
取缔	qǔ dì	ห้าม
曲子	qǔ zi	เพลง
趣味	qù wèi	ลิ้มรส
圈套	quān tào	กับดัก
全局	quán jú	ทั่วโลก
全力以赴	quán lì yǐ fù	ออกไปให้หมด
拳头	quán tou	กำปั้น
权衡	quán héng	แลกเปลี่ยน
权威	quán wēi	อำนาจ
犬	quǎn	หมา
缺口	quē kǒu	ช่องว่าง
缺席	quē xí	ขาด
缺陷	quē xiàn	ข้อบกพร่อง
瘸	qué	กะพร่องกะแพร่ง
确保	què bǎo	ตรวจสอบให้แน่ใจ
确立	què lì	สร้าง
确切	què qiè	แน่นอน
确信	què xìn	เชื่อมั่น
群众	qún zhòng	ฝูง
染	rǎn	ย้อม
嚷	rǎng	ตะโกน
让步	ràng bù	สัมปทาน
饶恕	ráo shù	ให้อภัย
扰乱	rǎo luàn	รบกวน
惹祸	rě huò	ภัยศาล
热泪盈眶	rè lèi yíng kuàng	น้ำตาคลอเบ้า
热门	rè mén	เป็นที่นิยม
人道	rén dào	มีมนุษยธรรม
人格	rén gé	บุคลิกภาพ
人工	rén gōng	เทียม
人家	rén jia	คน
人间	rén jiān	โลก
人士	rén shì	คน
人为	rén wéi	เทียม
人性	rén xìng	ธรรมชาติของมนุษย์
人质	rén zhì	ตัวประกัน
仁慈	rén cí	ความกรุณา
忍耐	rěn nài	ความอดทน
忍受	rěn shòu	อดทน
任命	rèn mìng	นัดหมาย
任性	rèn xìng	ตามอำเภอใจ
任意	rèn yì	ตามอำเภอใจ
任重道远	rèn zhòng dào yuǎn	หนทางอีกยาวไกล
认定	rèn dìng	รับรู้
认可	rèn kě	ได้รับการยอมรับ
仍旧	réng jiù	ยัง
日新月异	rì xīn yuè yì	เปลี่ยนไปในแต่ละวันที่ผ่านไป
日益	rì yì	มากขึ้นเรื่อย ๆ
容貌	róng mào	ลักษณะ
容纳	róng nà	รองรับ
容器	róng qì	ภาชนะ
容忍	róng rěn	อดทน
溶解	róng jiě	ละลาย
荣幸	róng xìng	ด้วยความยินดี
荣誉	róng yù	เกียรติยศ
融化	róng huà	ละลาย
融洽	róng qià	สายสัมพันธ์
揉	róu	ถู
柔和	róu hé	อ่อนนุ่ม
儒家	rú jiā	ลัทธิขงจื๊อ
弱点	ruò diǎn	ความอ่อนแอ
若干	ruò gān	หลาย
撒谎	sā huǎng	โกหก
散文	sǎn wén	ร้อยแก้ว
散布	sàn bù	การแพร่กระจาย
散发	sàn fā	แจกจ่าย
丧失	sàng shī	แพ้
骚扰	sāo rǎo	ก่อกวน
嫂子	sǎo zi	พี่สะใภ้
刹车	shā chē	เบรค
啥	shá	อะไร
筛选	shāi xuǎn	กรอง
山脉	shān mài	ภูเขา
闪烁	shǎn shuò	กะพริบ
擅长	shàn cháng	ดีที่
擅自	shàn zì	ไม่ได้รับอนุญาต
伤脑筋	shāng nǎo jīn	ลำบาก
商标	shāng biāo	เครื่องหมายการค้า
上级	shàng jí	เหนือกว่า
上进	shàng jìn	กระตุ้น
上任	shàng rèn	เข้ารับตำแหน่ง
上瘾	shàng yǐn	ติดยา
上游	shàng yóu	ต้นน้ำ
尚且	shàng qiě	ยัง
捎	shāo	ไปด้วย
梢	shāo	เคล็ดลับ
哨	shào	โพสต์
奢侈	shē chǐ	หรูหรา
舌头	shé tou	ลิ้น
摄氏度	shè shì dù	เซลเซียส
涉及	shè jí	เกี่ยวข้อง
社区	shè qū	ชุมชน
设立	shè lì	ติดตั้ง
设想	shè xiǎng	ลองนึกภาพ
设置	shè zhì	ติดตั้ง
呻吟	shēn yín	คราง
深奥	shēn ào	ลึกซึ้ง
深沉	shēn chén	ลึก
深情厚谊	shēn qíng hòu yì	มิตรภาพที่ลึกซึ้ง
申报	shēn bào	ประกาศ
绅士	shēn shì	สุภาพบุรุษ
神经	shén jīng	เส้นประสาท
神奇	shén qí	ขลัง
神气	shén qì	อากาศ
神圣	shén shèng	ศักดิ์สิทธิ์
神态	shén tài	demeanor
神仙	shén xiān	เป็นอมตะ
审查	shěn chá	ทบทวน
审理	shěn lǐ	การทดลอง
审美	shěn měi	เกี่ยวกับความงาม
审判	shěn pàn	การทดลอง
慎重	shèn zhòng	ระวัง
渗透	shèn tòu	การเจาะ
声明	shēng míng	คำให้การ
声势	shēng shì	โมเมนตัม
声誉	shēng yù	ชื่อเสียง
牲畜	shēng chù	ปศุสัตว์
生存	shēng cún	อยู่รอด
生机	shēng jī	ความมีชีวิตชีวา
生理	shēng lǐ	ทางสรีรวิทยา
生疏	shēng shū	สนิม
生态	shēng tài	นิเวศวิทยา
生物	shēng wù	ทางชีวภาพ
生效	shēng xiào	มีผล
生肖	shēng xiào	ราศี
生锈	shēng xiù	สนิม
生育	shēng yù	การเจริญพันธุ์
省会	shěng huì	เมืองหลวงของจังหวัด
盛产	shèng chǎn	รวย
盛开	shèng kāi	บาน
盛情	shèng qíng	การต้อนรับ
盛行	shèng xíng	เหนือกว่า
胜负	shèng fù	ชนะหรือแพ้
失事	shī shì	ซาก
失误	shī wù	ผิดพลาด
失踪	shī zōng	หายไป
尸体	shī tǐ	ศพ
师范	shī fàn	ครู
施加	shī jiā	กำหนด
施展	shī zhǎn	แสดง
十足	shí zú	เต็ม
实惠	shí huì	ราคาไม่แพง
实力	shí lì	ความแข็งแรง
实施	shí shī	ดำเนินการ
实事求是	shí shì qiú shì	แสวงหาความจริงจากข้อเท็จจริง
实行	shí xíng	ดำเนินการ
实质	shí zhì	สาร
拾	shí	ไปรับ
时常	shí cháng	บ่อยครั้ง
时而	shí ér	บางครั้ง
时光	shí guāng	เวลา
时机	shí jī	โอกาส
时事	shí shì	เหตุการณ์ปัจจุบัน
石油	shí yóu	น้ำมัน
识别	shí bié	แยกแยะ
使命	shǐ mìng	ภารกิจ
世代	shì dài	รุ่น
事故	shì gù	อุบัติเหตุ
事迹	shì jì	การกระทำ
事件	shì jiàn	เหตุการณ์
事态	shì tài	สถานการณ์
事务	shì wù	กิจการ
事项	shì xiàng	เรื่อง
事业	shì yè	สาเหตุ
势必	shì bì	ผูกติดกับ
势力	shì li	อำนาจ
是非	shì fēi	ถูกหรือผิด
示范	shì fàn	สาธิต
示威	shì wēi	สาธิต
示意	shì yì	สัญญาณ
视力	shì lì	วิสัยทัศน์
视频	shì pín	วิดีโอ
视线	shì xiàn	สายตา
视野	shì yě	วิสัยทัศน์
试图	shì tú	พยายาม
试验	shì yàn	ทดสอบ
适宜	shì yí	เหมาะสม
逝世	shì shì	ล่วงลับ
释放	shì fàng	เป็นอิสระ
收藏	shōu cáng	รายการโปรด
收缩	shōu suō	หด
收益	shōu yì	รายได้
收音机	shōu yīn jī	วิทยุ
守护	shǒu hù	ยาม
手法	shǒu fǎ	เทคนิค
手势	shǒu shì	ท่าทาง
手艺	shǒu yì	งานฝีมือ
首饰	shǒu shì	เครื่องประดับ
首要	shǒu yào	หลัก
受罪	shòu zuì	ประสบ
授予	shòu yǔ	ให้
书法	shū fǎ	การประดิษฐ์ตัวอักษร
书记	shū ji	เลขานุการ
书籍	shū jí	หนังสือ
书面	shū miàn	เขียน
疏忽	shū hu	ความประมาท
疏远	shū yuǎn	โอน
舒畅	shū chàng	สะดวกสบาย
数额	shù é	จำนวน
束	shù	มัด
束缚	shù fù	พันธนาการ
树立	shù lì	ติดตั้ง
竖	shù	แนวตั้ง
耍	shuǎ	เล่น
衰老	shuāi lǎo	ความชรา
衰退	shuāi tuì	ลดลง
率领	shuài lǐng	ตะกั่ว
涮火锅	shuàn huǒ guō	ชาบูชาบู
双胞胎	shuāng bāo tāi	แฝด
爽快	shuǎng kuài	พร้อม
水利	shuǐ lì	การอนุรักษ์น้ำ
水龙头	shuǐ lóng tóu	ก๊อกน้ำ
水泥	shuǐ ní	ปูนซีเมนต์
瞬间	shùn jiān	ช่วงเวลา
司法	sī fǎ	ตุลาการ
司令	sī lìng	ผบ
思念	sī niàn	นางสาว
思索	sī suǒ	ความคิด
思维	sī wéi	ความคิด
斯文	sī wen	อ่อนโยน
私自	sī zì	สองต่อสอง
死亡	sǐ wáng	ความตาย
四肢	sì zhī	แขนขา
寺庙	sì miào	วัด
肆无忌惮	sì wú jì dàn	ไร้ยางอาย
饲养	sì yǎng	การเลี้ยงดู
耸	sǒng	สูงตระหง่าน
艘	sōu	เรือ
苏醒	sū xǐng	ตื่น
俗话	sú huà	คำแสลง
塑造	sù zào	รูปร่าง
素食	sù shí	อาหารมังสวิรัต
素质	sù zhì	คุณภาพ
诉讼	sù sòng	การดำเนินคดี
算数	suàn shù	นับ
随即	suí jí	ทันที
随意	suí yì	สุ่ม
岁月	suì yuè	ปี
隧道	suì dào	อุโมงค์
损坏	sǔn huài	ความเสียหาย
索取	suǒ qǔ	ขอ
索性	suǒ xìng	เพียงแค่
塌	tā	ยุบ
踏实	tā shi	แน่วแน่
塔	tǎ	หอคอย
台风	tái fēng	พายุไต้ฝุ่น
太空	tài kōng	พื้นที่
泰斗	tài dǒu	คณบดี
摊	tān	แผงลอย
瘫痪	tān huàn	อัมพาต
贪婪	tān lán	โลภ
贪污	tān wū	คอรัปชั่น
弹性	tán xìng	ความยืดหยุ่น
坦白	tǎn bái	ตรงไปตรงมา
叹气	tàn qì	ถอนหายใจ
探测	tàn cè	ตรวจจับ
探索	tàn suǒ	สำรวจ
探讨	tàn tǎo	สำรวจ
探望	tàn wàng	เยี่ยมชม
倘若	tǎng ruò	ถ้า
掏	tāo	ขุด
滔滔不绝	tāo tāo bù jué	คุยกันไม่รู้จบ
淘汰	táo tài	ตกรอบ
陶瓷	táo cí	เซรามิกส์
陶醉	táo zuì	สำมะเลเทเมา
讨好	tǎo hǎo	กรุณา
特长	tè cháng	พิเศษ
特定	tè dìng	เฉพาะ
特意	tè yì	เป็นพิเศษ
提拔	tí bá	เลื่อนตำแหน่ง
提炼	tí liàn	การกลั่น
提示	tí shì	พรอมต์
提议	tí yì	ข้อเสนอ
题材	tí cái	ธีม
体裁	tǐ cái	ประเภท
体积	tǐ jī	ปริมาณ
体谅	tǐ liàng	เกรงใจ
体面	tǐ miàn	เหมาะสม
体系	tǐ xì	ระบบ
天才	tiān cái	อัจฉริยะ
天赋	tiān fù	พรสวรรค์
天伦之乐	tiān lún zhī lè	ความสนุกสนานในครอบครัว
天然气	tiān rán qì	ก๊าซธรรมชาติ
天生	tiān shēng	เกิด
天堂	tiān táng	สวรรค์
天文	tiān wén	ดาราศาสตร์
田径	tián jìng	ติดตามและฟิลด์
田野	tián yě	ฟิลด์
舔	tiǎn	เลีย
挑剔	tiāo ti	ปิ๊กมี่
条款	tiáo kuǎn	เงื่อนไข
条理	tiáo lǐ	จัด
条约	tiáo yuē	สนธิสัญญา
调和	tiáo hé	คืนดี
调剂	tiáo jì	ปรับ
调节	tiáo jié	ปรับ
调解	tiáo jiě	การไกล่เกลี่ย
调料	tiáo liào	เครื่องปรุงรส
挑拨	tiǎo bō	เล่น
挑衅	tiǎo xìn	เร้าใจ
跳跃	tiào yuè	กระโดด
亭子	tíng zi	ศาลา
停泊	tíng bó	จอดอยู่
停顿	tíng dùn	หยุด
停滞	tíng zhì	หยุดนิ่ง
挺拔	tǐng bá	สูงและตรง
通货膨胀	tōng huò péng zhàng	เงินเฟ้อ
通缉	tōng jī	ต้องการ
通俗	tōng sú	เป็นที่นิยม
通讯	tōng xùn	การสื่อสาร
通用	tōng yòng	สากล
同胞	tóng bāo	พี่น้อง
同志	tóng zhì	เกย์
童话	tóng huà	เทพนิยาย
铜	tóng	ทองแดง
统筹兼顾	tǒng chóu jiān gù	การวางแผนโดยรวม
统计	tǒng jì	สถิติ
统统	tǒng tǒng	ทั้งหมด
统治	tǒng zhì	กฎ
投机	tóu jī	การเก็งกำไร
投票	tóu piào	โหวต
投诉	tóu sù	ร้องเรียน
投降	tóu xiáng	ยอมแพ้
投掷	tóu zhì	โยน
透露	tòu lù	เปิดเผย
秃	tū	หัวล้าน
突破	tū pò	การฝ่าฟันอุปสรรค
图案	tú àn	รูปแบบ
徒弟	tú dì	เด็กฝึกงาน
涂抹	tú mǒ	ละเลง
途径	tú jìng	ทาง
土壤	tǔ rǎng	ดิน
团结	tuán jié	ความสามัคคี
团体	tuán tǐ	กลุ่ม
团圆	tuán yuán	การพบกันใหม่
推测	tuī cè	เก็งกำไร
推翻	tuī fān	ปลดจากตำแหน่ง
推理	tuī lǐ	การให้เหตุผล
推论	tuī lùn	การอนุมาน
推销	tuī xiāo	ขาย
吞吞吐吐	tūn tūn tǔ tǔ	ลังเล
托运	tuō yùn	ฝากขาย
拖延	tuō yán	ผัดวันประกันพรุ่ง
脱离	tuō lí	ผละออก
妥当	tuǒ dang	เหมาะสม
妥善	tuǒ shàn	เหมาะสม
妥协	tuǒ xié	ประนีประนอม
椭圆	tuǒ yuán	รูปไข่
唾弃	tuò qì	ทิ้งไป
哇	wa	ว้าว
挖掘	wā jué	ขุด
娃娃	wá wa	ตุ๊กตา
瓦解	wǎ jiě	ยุบ
歪曲	wāi qū	บิดเบือน
外表	wài biǎo	ลักษณะ
外行	wài háng	ผู้ที่ไม่ใช่ผู้เชี่ยวชาญ
外界	wài jiè	นอกโลก
外向	wài xiàng	ขาออก
丸	wán	ยา
完备	wán bèi	เสร็จสมบูรณ์
完毕	wán bì	เสร็จสมบูรณ์
玩弄	wán nòng	เล่น
玩意儿	wán yì r	สิ่ง
顽固	wán gù	ปากแข็ง
顽强	wán qiáng	หวงแหน
惋惜	wǎn xī	เสียใจ
挽回	wǎn huí	แลก
挽救	wǎn jiù	บันทึก
万分	wàn fēn	มาก
往常	wǎng cháng	เหมือนอย่างเคย
往事	wǎng shì	ที่ผ่านมา
妄想	wàng xiǎng	ความหลง
危机	wēi jī	วิกฤต
威风	wēi fēng	ศักดิ์ศรี
威力	wēi lì	อำนาจ
威望	wēi wàng	ศักดิ์ศรี
威信	wēi xìn	ศักดิ์ศรี
微不足道	wēi bù zú dào	เล็กน้อย
微观	wēi guān	ไมโคร
为难	wéi nán	อาย
为期	wéi qī	ระยะเวลา
唯独	wéi dú	คนเดียว
维持	wéi chí	รักษา
维护	wéi hù	รักษา
维生素	wéi shēng sù	วิตามิน
违背	wéi bèi	ต่อต้าน
伪造	wěi zào	การปลอม
委托	wěi tuō	ค่าคอมมิชชั่น
委员	wěi yuán	กรรมการ
卫星	wèi xīng	ดาวเทียม
喂	wèi	สวัสดี (กริยา)
慰问	wèi wèn	ขอแสดงความเสียใจ
未免	wèi miǎn	หลีกเลี่ยงไม่ได้
畏惧	wèi jù	กลัว
蔚蓝	wèi lán	azure
温带	wēn dài	เขตอบอุ่น
温和	wēn hé	อ่อน
文凭	wén píng	ประกาศนียบัตร
文物	wén wù	พระธาตุทางวัฒนธรรม
文献	wén xiàn	วรรณกรรม
文雅	wén yǎ	สง่างาม
文艺	wén yì	ศิลปะ
问世	wèn shì	ออกมา
窝	wō	รัง
乌黑	wū hēi	เจ็ทสีดำ
污蔑	wū miè	การพูดให้ร้าย
诬陷	wū xiàn	กรอบ
无比	wú bǐ	อย่างยิ่ง
无偿	wú cháng	ฟรี
无耻	wú chǐ	ไร้ยางอาย
无动于衷	wú dòng yú zhōng	ไม่แยแส
无非	wú fēi	ไม่มีอะไรมากไปกว่า
无辜	wú gū	ไร้เดียงสา
无精打采	wú jīng dǎ cǎi	ลิสต์
无赖	wú lài	คนโกง
无理取闹	wú lǐ qǔ nào	ไม่มีเหตุผล
无能为力	wú néng wéi lì	ไม่มีอำนาจ
无穷无尽	wú qióng wú jìn	ไม่มีที่สิ้นสุด
无微不至	wú wēi bù zhì	พิถีพิถัน
无忧无虑	wú yōu wú lv4	ที่ไร้กังวล
无知	wú zhī	ความไม่รู้
侮辱	wǔ rǔ	ดูถูก
武器	wǔ qì	แขน
武侠	wǔ xiá	ศิลปะการต่อสู้
武装	wǔ zhuāng	ติดอาวุธ
舞蹈	wǔ dǎo	เต้นรำ
务必	wù bì	แน่ใจ
物美价廉	wù měi jià lián	คุณภาพดีและราคาถูก
物业	wù yè	ทรัพย์สิน
物资	wù zī	วัสดุสิ้นเปลือง
误差	wù chā	ข้อผิดพลาด
误解	wù jiě	เข้าใจผิด
夕阳	xī yáng	พระอาทิตย์ตก
昔日	xī rì	วันเก่า ๆ
溪	xī	ครีก
熄灭	xī miè	ออกไป
牺牲	xī shēng	เสียสละ
膝盖	xī gài	เข่า
习俗	xí sú	กำหนดเอง
媳妇	xí fu	ลูกสะใภ้
袭击	xí jī	จู่โจม
喜闻乐见	xǐ wén lè jiàn	รักที่จะได้ยิน
喜悦	xǐ yuè	ความสุข
系列	xì liè	ชุด
细菌	xì jūn	แบคทีเรีย
细胞	xì bāo	เซลล์
细致	xì zhì	พิถีพิถัน
峡谷	xiá gǔ	แคนยอน
狭隘	xiá ài	แคบ
狭窄	xiá zhǎi	แคบ
霞	xiá	เซี่ย
下属	xià shǔ	ผู้ใต้บังคับบัญชา
先进	xiān jìn	ขั้นสูง
先前	xiān qián	ก่อนหน้านี้
掀起	xiān qǐ	ออกเดินทาง
纤维	xiān wéi	ไฟเบอร์
鲜明	xiān míng	สดใส
嫌	xián	ไม่ชอบ
嫌疑	xián yí	สงสัย
弦	xián	สตริง
衔接	xián jiē	การเชื่อมต่อ
贤惠	xián huì	คุณธรรม
闲话	xián huà	ซุบซิบ
显著	xiǎn zhù	มีนัยสำคัญ
宪法	xiàn fǎ	รัฐธรรมนูญ
现场	xiàn chǎng	บนเว็บไซต์
现成	xiàn chéng	สำเร็จรูป
现状	xiàn zhuàng	สภาพที่เป็นอยู่
线索	xiàn suǒ	เบาะแส
陷害	xiàn hài	กรอบ
陷阱	xiàn jǐng	กับดัก
陷入	xiàn rù	ตกอยู่ใน
馅儿	xiàn r	การบรรจุ
乡镇	xiāng zhèn	เขตการปกครอง
相差	xiāng chà	ความแตกต่าง
相等	xiāng děng	เท่ากัน
相辅相成	xiāng fǔ xiāng chéng	เติมเต็มซึ่งกันและกัน
相应	xiāng yìng	สอดคล้องกัน
镶嵌	xiāng qiàn	โมเสก
响亮	xiǎng liàng	ดัง
响应	xiǎng yìng	การตอบสนอง
想方设法	xiǎng fāng shè fǎ	ค้นหาวิธีต่างๆ
向导	xiàng dǎo	คู่มือ
向来	xiàng lái	เสมอ
向往	xiàng wǎng	โหยหา
巷	xiàng	เลน
相声	xiàng sheng	crosstalk
消除	xiāo chú	กำจัด
消毒	xiāo dú	ฆ่าเชื้อ
消防	xiāo fáng	ดับเพลิง
消耗	xiāo hào	บริโภค
消灭	xiāo miè	เช็ดออก
潇洒	xiāo sǎ	เก๋
销毁	xiāo huǐ	ทำลาย
小心翼翼	xiǎo xīn yì yì	อย่างระมัดระวัง
效益	xiào yì	ประโยชน์
肖像	xiào xiàng	แนวตั้ง
协会	xié huì	สมาคม
协商	xié shāng	ต่อรองจัดการ
协调	xié tiáo	การประสานงาน
协议	xié yì	มาตรการ
协助	xié zhù	ช่วยเหลือ
携带	xié dài	พก
屑	xiè	เศษ
泄露	xiè lù	ให้ทาง
泄气	xiè qì	ท้อแท้
谢绝	xiè jué	ลดลง
心得	xīn dé	ประสบการณ์
心甘情愿	xīn gān qíng yuàn	ด้วยความเต็มใจ
心灵	xīn líng	วิญญาณ
心态	xīn tài	จิตใจ
心疼	xīn téng	มีความสุข
心血	xīn xuè	การทำงานอย่างหนัก
心眼儿	xīn yǎn r	มีสติ
新陈代谢	xīn chén dài xiè	การเผาผลาญ
新郎	xīn láng	เจ้าบ่าว
新娘	xīn niáng	เจ้าสาว
新颖	xīn yǐng	นวนิยาย
欣慰	xīn wèi	ปลื้มใจ
欣欣向荣	xīn xīn xiàng róng	เจริญรุ่งเรือง
薪水	xīn shuǐ	เงินเดือน
辛勤	xīn qín	การทำงานอย่างหนัก
信赖	xìn lài	ความไว้วางใจ
信念	xìn niàn	ความเชื่อ
信仰	xìn yǎng	ศรัทธา
信誉	xìn yù	ชื่อเสียง
兴高采烈	xīng gāo cǎi liè	มีความสุข
兴隆	xīng lóng	เจริญรุ่งเรือง
兴旺	xīng wàng	เจริญรุ่งเรือง
腥	xīng	คาว
刑事	xíng shì	อาชญากร
形态	xíng tài	แบบฟอร์ม
行政	xíng zhèng	ธุรการ
兴致勃勃	xìng zhì bó bó	ตื่นเต้น
性感	xìng gǎn	เซ็กซี่
性命	xìng mìng	ชีวิต
性能	xìng néng	ประสิทธิภาพ
凶恶	xiōng è	เลวทราม
凶手	xiōng shǒu	ฆาตกร
汹涌	xiōng yǒng	ปั่นป่วน
胸怀	xiōng huái	ใจ
胸膛	xiōng táng	หน้าอก
雄厚	xióng hòu	แข็งแรง
雄伟	xióng wěi	ตระหง่าน
修复	xiū fù	ซ่อมแซม
修建	xiū jiàn	สร้าง
修养	xiū yǎng	การฝึกอบรม
羞耻	xiū chǐ	ความอัปยศ
嗅觉	xiù jué	กลิ่น
绣	xiù	ปัก
虚假	xū jiǎ	เท็จ
虚荣	xū róng	โต๊ะเครื่องแป้ง
虚伪	xū wěi	หน้าซื่อใจคด
需求	xū qiú	ความต้องการ
须知	xū zhī	ข้อสังเกต
许可	xǔ kě	ใบอนุญาต
序言	xù yán	คำนำ
畜牧	xù mù	การเลี้ยงสัตว์
酗酒	xù jiǔ	พิษสุราเรื้อรัง
喧哗	xuān huá	ความโกลาหล
宣誓	xuān shì	สาบาน
宣扬	xuān yáng	สั่งสอน
悬挂	xuán guà	การระงับ
悬念	xuán niàn	ใจจดใจจ่อ
悬殊	xuán shū	ความแตกต่าง
悬崖峭壁	xuán yá qiào bì	หน้าผา
旋律	xuán lv4	ทำนอง
旋转	xuán zhuǎn	หมุน
选拔	xuǎn bá	การเลือก
选举	xuǎn jǔ	การเลือกตั้ง
选手	xuǎn shǒu	ผู้เล่น
炫耀	xuàn yào	แสดงออก
削	xuē	ตัด
削弱	xuē ruò	อ่อนแอลง
学说	xué shuō	ทฤษฎี
学位	xué wèi	วิทยาศาสตรบัณฑิต
雪上加霜	xuě shàng jiā shuāng	แย่กว่านั้น
血压	xuè yā	ความดันโลหิต
熏陶	xūn táo	เทศนา
寻觅	xún mì	หา
巡逻	xún luó	ลาดตระเวน
循环	xún huán	วงจร
循序渐进	xún xù jiàn jìn	เป็นขั้นเป็นตอน
压迫	yā pò	การกดขี่
压岁钱	yā suì qián	เงินปีใหม่
压缩	yā suō	การบีบอัด
压抑	yā yì	หดหู่
压榨	yā zhà	กด
压制	yā zhì	ปราบปราม
鸦雀无声	yā què wú shēng	เงียบ
亚军	yà jūn	วิ่งขึ้น
淹没	yān mò	จมอยู่ใต้น้ำ
烟花爆竹	yān huā bào zhú	ประทัด
严峻	yán jùn	รุนแรง
严寒	yán hán	หนาวจัด
严禁	yán jìn	ห้ามโดยเด็ดขาด
严厉	yán lì	รุนแรง
严密	yán mì	แน่น
岩石	yán shí	ร็อค
延期	yán qī	ส่วนขยาย
延伸	yán shēn	ขยาย
延续	yán xù	ดำเนินการต่อ
沿海	yán hǎi	ชายฝั่ง
炎热	yán rè	ร้อน
言论	yán lùn	คำพูด
掩盖	yǎn gài	ปก
掩护	yǎn hù	ปก
掩饰	yǎn shì	ปิดบัง
演变	yǎn biàn	วิวัฒนาการ
演习	yǎn xí	ออกกำลังกาย
演绎	yǎn yì	การหักเงิน
演奏	yǎn zòu	กำลังเล่น
眼光	yǎn guāng	วิสัยทัศน์
眼色	yǎn sè	ขยิบตา
眼神	yǎn shén	ดู
厌恶	yàn wù	ขยะแขยง
验收	yàn shōu	การยอมรับ
验证	yàn zhèng	การตรวจสอบ
氧气	yǎng qì	ออกซิเจน
样品	yàng pǐn	ตัวอย่าง
摇摆	yáo bǎi	แกว่ง
摇滚	yáo gǔn	ร็อค
谣言	yáo yán	ข่าวลือ
遥控	yáo kòng	รีโมท
遥远	yáo yuǎn	ห่างไกล
耀眼	yào yǎn	พราว
要点	yào diǎn	จุด
要命	yào mìng	แย่มาก
要素	yào sù	ธาตุ
野蛮	yě mán	โหด
野心	yě xīn	ความทะเยอทะยาน
液体	yè tǐ	ของเหลว
一流	yī liú	ชั้นหนึ่ง
一如既往	yī rú jì wǎng	เหมือนเคย
依旧	yī jiù	ยัง
依据	yī jù	ตาม
依靠	yī kào	พึ่งพา
依赖	yī lài	พึ่งพา
依托	yī tuō	พึ่ง
衣裳	yī shang	เสื้อผ้า
一度	yí dù	ครั้งหนึ่ง
一贯	yí guàn	สม่ำเสมอ
一目了然	yí mù liǎo rán	ได้อย่างรวดเร็ว
一向	yí xiàng	เสมอ
仪器	yí qì	เครื่องดนตรี
仪式	yí shì	พิธี
疑惑	yí huò	สงสัย
遗产	yí chǎn	มรดก
遗传	yí chuán	พันธุกรรม
遗留	yí liú	มรดก
遗失	yí shī	สูญหาย
以便	yǐ biàn	ดังนั้น
以免	yǐ miǎn	เพื่อไม่ให้
以往	yǐ wǎng	ในอดีตที่ผ่านมา
以至	yǐ zhì	แม้
以致	yǐ zhì	ดังนั้น
一帆风顺	yì fān fēng shùn	แล่นเรือใบเรียบ
一举两得	yì jǔ liǎng dé	ฆ่านกสองตัวด้วยหินก้อนเดียว
一丝不苟	yì sī bù gǒu	พิถีพิถัน
亦	yì	ด้วย
异常	yì cháng	ผิดปกติ
意料	yì liào	คาดว่า
意识	yì shí	การรับรู้
意图	yì tú	ความตั้งใจ
意味着	yì wèi zhe	ค่าเฉลี่ย
意向	yì xiàng	ความตั้งใจ
意志	yì zhì	จะ
毅力	yì lì	ความเพียร
毅然	yì rán	เฉียบขาด
翼	yì	ปีก
阴谋	yīn móu	การกบฏ
音响	yīn xiǎng	เสียง
引导	yǐn dǎo	คู่มือ
引擎	yǐn qíng	เครื่องยนต์
引用	yǐn yòng	ใบเสนอราคา
隐蔽	yǐn bì	ซ่อนอยู่
隐患	yǐn huàn	อันตรายที่ซ่อนอยู่
隐瞒	yǐn mán	ซ่อน
隐私	yǐn sī	ความเป็นส่วนตัว
隐约	yǐn yuē	เป็นลม
饮食	yǐn shí	อาหาร
婴儿	yīng ér	ทารก
英明	yīng míng	ฉลาด
英勇	yīng yǒng	กล้าหาญ
盈利	yíng lì	กำไร
迎面	yíng miàn	มุ่งหน้าไป
应酬	yìng chou	เข้าสังคม
应邀	yìng yāo	ได้รับเชิญ
庸俗	yōng sú	หยาบคาย
拥护	yōng hù	สนับสนุน
拥有	yōng yǒu	มี
勇于	yǒng yú	กล้าหาญ
永恒	yǒng héng	นิรันดร์
涌现	yǒng xiàn	โผล่ออกมา
踊跃	yǒng yuè	อย่างแข็งขัน
用户	yòng hù	ผู้ใช้
优胜劣汰	yōu shèng liè tài	การอยู่รอดของผู้ที่เหมาะสมที่สุด
优先	yōu xiān	ลำดับความสำคัญ
优异	yōu yì	ยอดเยี่ยม
优越	yōu yuè	เหนือกว่า
忧郁	yōu yù	เศร้าโศก
油腻	yóu nì	เลี่ยน
油漆	yóu qī	สี
犹如	yóu rú	เหมือนกับ
有条不紊	yǒu tiáo bù wěn	มีระเบียบ
幼稚	yòu zhì	ไร้เดียงสา
诱惑	yòu huò	ภายใน temptation
愚蠢	yú chǔn	โง่
愚昧	yú mèi	ความไม่รู้
渔民	yú mín	ชาวประมง
舆论	yú lùn	ความคิดเห็นของประชาชน
与日俱增	yǔ rì jù zēng	เพิ่มขึ้นทุกวัน
宇宙	yǔ zhòu	จักรวาล
羽绒服	yǔ róng fú	แจ็คเก็ตลง
寓言	yù yán	นิทาน
愈	yù	รักษา
欲望	yù wàng	ความต้องการ
熨	yù	รีดผ้า
玉	yù	หยก
预料	yù liào	คาดว่า
预期	yù qī	คาดว่า
预算	yù suàn	งบประมาณ
预先	yù xiān	ล่วงหน้า
预言	yù yán	คำทำนาย
预兆	yù zhào	ลาง
冤枉	yuān wang	ผิด
