挨	ái	يعاني
探讨	tàn tǎo	يكتشف
探望	tàn wàng	يزور
倘若	tǎng ruò	إذا
掏	tāo	حفر
滔滔不绝	tāo tāo bù jué	تحدث بلا نهاية
淘汰	táo tài	اقصاء
陶瓷	táo cí	سيراميك
陶醉	táo zuì	عربد
讨好	tǎo hǎo	رجاء
特长	tè cháng	تخصص
特定	tè dìng	محدد
特意	tè yì	خصيصا
提拔	tí bá	ترقية
提炼	tí liàn	تكرير
提示	tí shì	مستعجل
提议	tí yì	اقتراح
题材	tí cái	موضوع
体裁	tǐ cái	النوع
体积	tǐ jī	الصوت
体谅	tǐ liàng	تراعي
体面	tǐ miàn	لائق
体系	tǐ xì	النظام
天才	tiān cái	العبقري
天赋	tiān fù	موهبة
天伦之乐	tiān lún zhī lè	مرح عائلي
天然气	tiān rán qì	غاز طبيعي
天生	tiān shēng	مولود
天堂	tiān táng	الجنة
天文	tiān wén	فلكي
田径	tián jìng	تتبع وتمحص
田野	tián yě	حقل
舔	tiǎn	لعق
挑剔	tiāo ti	من الصعب إرضاءه
条款	tiáo kuǎn	شروط
条理	tiáo lǐ	منظم
条约	tiáo yuē	معاهدة
调和	tiáo hé	التصالح
调剂	tiáo jì	يعدل
调节	tiáo jié	يعدل
调解	tiáo jiě	وساطة
调料	tiáo liào	توابل
挑拨	tiǎo bō	يتنحنح
挑衅	tiǎo xìn	استفزازي
跳跃	tiào yuè	قفزة
亭子	tíng zi	جناح
停泊	tíng bó	متوقفة
停顿	tíng dùn	وقفة
停滞	tíng zhì	راكد
挺拔	tǐng bá	طويل ومستقيم
通货膨胀	tōng huò péng zhàng	التضخم
通缉	tōng jī	مطلوب
通俗	tōng sú	جمع
通讯	tōng xùn	الاتصالات
通用	tōng yòng	عالمي
同胞	tóng bāo	أخوان
同志	tóng zhì	مثلي
童话	tóng huà	حكاية خيالية
铜	tóng	النحاس
统筹兼顾	tǒng chóu jiān gù	التخطيط العام
统计	tǒng jì	الإحصاء
统统	tǒng tǒng	الكل
统治	tǒng zhì	قاعدة
投机	tóu jī	المضاربة
投票	tóu piào	تصويت
投诉	tóu sù	شكوى
投降	tóu xiáng	استسلام
投掷	tóu zhì	يرمي
透露	tòu lù	الكشف عن
秃	tū	أصلع
突破	tū pò	اختراق
图案	tú àn	نمط
徒弟	tú dì	شخص يتعلم حرفة ما
涂抹	tú mǒ	مسحة
途径	tú jìng	الطريق
土壤	tǔ rǎng	التربة
团结	tuán jié	وحدة
团体	tuán tǐ	مجموعة
团圆	tuán yuán	جمع شمل
推测	tuī cè	المضاربة
推翻	tuī fān	الإطاحة
推理	tuī lǐ	منطق
推论	tuī lùn	الإستنباط
推销	tuī xiāo	يبيع
吞吞吐吐	tūn tūn tǔ tǔ	متردد
托运	tuō yùn	شحنة
拖延	tuō yán	مماطلة
脱离	tuō lí	انفصل
妥当	tuǒ dang	مناسب
妥善	tuǒ shàn	لائق
妥协	tuǒ xié	مرونة
椭圆	tuǒ yuán	بيضاوي
唾弃	tuò qì	تخلى عن
哇	wa	رائع
挖掘	wā jué	حفر
娃娃	wá wa	دمية
瓦解	wǎ jiě	انهيار
歪曲	wāi qū	التشوه
外表	wài biǎo	مظهر خارجي
外行	wài háng	الشخص العادي
外界	wài jiè	العالم الخارجي
外向	wài xiàng	منفتح
丸	wán	حبوب منع الحمل
完备	wán bèi	اكتمال
完毕	wán bì	اكتمال
玩弄	wán nòng	لعب
玩意儿	wán yì r	شيء
顽固	wán gù	عنيد
顽强	wán qiáng	عنيد
惋惜	wǎn xī	يندم
挽回	wǎn huí	تخليص
挽救	wǎn jiù	حفظ
万分	wàn fēn	الى ابعد حد
往常	wǎng cháng	كل عادة
往事	wǎng shì	الماضي
妄想	wàng xiǎng	الوهم
危机	wēi jī	أزمة
威风	wēi fēng	هيبة
威力	wēi lì	قوة
威望	wēi wàng	هيبة
威信	wēi xìn	هيبة
微不足道	wēi bù zú dào	ضئيلة
微观	wēi guān	مجهري
为难	wéi nán	أحرجت
为期	wéi qī	المدة الزمنية
唯独	wéi dú	وحده
维持	wéi chí	الحفاظ
维护	wéi hù	الحفاظ
维生素	wéi shēng sù	فيتامينات
违背	wéi bèi	الذهاب ضد
伪造	wěi zào	تزوير
委托	wěi tuō	عمولة
委员	wěi yuán	عضو لجنة
卫星	wèi xīng	الأقمار الصناعية
喂	wèi	مرحبا (فعل)
慰问	wèi wèn	تعازي
未免	wèi miǎn	المحتوم
畏惧	wèi jù	الخوف
蔚蓝	wèi lán	أزور
温带	wēn dài	منطقة معتدلة
温和	wēn hé	خفيف
文凭	wén píng	شهادة دبلوم
文物	wén wù	الاثار الثقافية
文献	wén xiàn	الأدب
文雅	wén yǎ	أنيق
文艺	wén yì	فن
问世	wèn shì	يظهر
窝	wō	عش
乌黑	wū hēi	أسود كالفحم
污蔑	wū miè	القذف
诬陷	wū xiàn	الإطار
无比	wú bǐ	الى ابعد حد
无偿	wú cháng	مجانا
无耻	wú chǐ	وقح
无动于衷	wú dòng yú zhōng	غير مبال
无非	wú fēi	لا شيء أكثر من
无辜	wú gū	البريء
无精打采	wú jīng dǎ cǎi	فاتر
无赖	wú lài	محتال
无理取闹	wú lǐ qǔ nào	غير منطقى
无能为力	wú néng wéi lì	عاجز
无穷无尽	wú qióng wú jìn	بلا نهاية
无微不至	wú wēi bù zhì	شديد الإنتباه للتفاصيل
无忧无虑	wú yōu wú lv4	براحة البال
无知	wú zhī	جهل
侮辱	wǔ rǔ	إهانة
武器	wǔ qì	أسلحة
武侠	wǔ xiá	الفنون العسكرية
武装	wǔ zhuāng	مسلح
舞蹈	wǔ dǎo	الرقص
务必	wù bì	تأكد
物美价廉	wù měi jià lián	نوعية جيدة ورخيصة
物业	wù yè	خاصية
物资	wù zī	اللوازم
误差	wù chā	خطأ
误解	wù jiě	سوء فهم
夕阳	xī yáng	غروب الشمس
昔日	xī rì	ايام زمان
溪	xī	جدول
熄灭	xī miè	أخرج
牺牲	xī shēng	تضحية
膝盖	xī gài	الركبة
习俗	xí sú	مخصص
媳妇	xí fu	ابنة بالنسب
袭击	xí jī	الاعتداءات
喜闻乐见	xǐ wén lè jiàn	أحب أن أسمع
喜悦	xǐ yuè	الفرح
系列	xì liè	سلسلة
细菌	xì jūn	جرثومي
细胞	xì bāo	زنزانة
细致	xì zhì	شديد الإنتباه للتفاصيل
峡谷	xiá gǔ	كانيون
狭隘	xiá ài	ضيق
狭窄	xiá zhǎi	ضيق
霞	xiá	شيا
下属	xià shǔ	المرؤوس
先进	xiān jìn	المتقدمة
先前	xiān qián	سابقا
掀起	xiān qǐ	انطلقت
纤维	xiān wéi	الأساسية
鲜明	xiān míng	مشرق
嫌	xián	لم يعجبنى
嫌疑	xián yí	مشتبه فيه
弦	xián	خيط
衔接	xián jiē	الإتصال
贤惠	xián huì	فاضلة
闲话	xián huà	ثرثرة
显著	xiǎn zhù	كبير
宪法	xiàn fǎ	دستور
现场	xiàn chǎng	بالموقع
现成	xiàn chéng	جاهز
现状	xiàn zhuàng	الوضع الراهن
线索	xiàn suǒ	فكرة
陷害	xiàn hài	مؤطر
陷阱	xiàn jǐng	فخ
陷入	xiàn rù	سقط في
馅儿	xiàn r	حشوة
乡镇	xiāng zhèn	بلدة
相差	xiāng chà	فرق
相等	xiāng děng	مساو
相辅相成	xiāng fǔ xiāng chéng	يكمل كل منهما الآخر
相应	xiāng yìng	المقابلة
镶嵌	xiāng qiàn	فسيفساء
响亮	xiǎng liàng	بصوت عال
响应	xiǎng yìng	استجابة
想方设法	xiǎng fāng shè fǎ	العثور على طرق
向导	xiàng dǎo	يرشد
向来	xiàng lái	دائما
向往	xiàng wǎng	يتوقون ل
巷	xiàng	خط
相声	xiàng sheng	الحديث المتبادل
消除	xiāo chú	القضاء
消毒	xiāo dú	تطهير
消防	xiāo fáng	مكافحة الحريق
消耗	xiāo hào	تستهلك
消灭	xiāo miè	إمسح
潇洒	xiāo sǎ	أناقة
销毁	xiāo huǐ	هدم
小心翼翼	xiǎo xīn yì yì	بحذر
效益	xiào yì	فائدة
肖像	xiào xiàng	صورة
协会	xié huì	جمعية
协商	xié shāng	تفاوض
协调	xié tiáo	تنسيق
协议	xié yì	بروتوكول
协助	xié zhù	مساعدة
携带	xié dài	احمل
屑	xiè	فتات
泄露	xiè lù	افسح الطريق
泄气	xiè qì	محبط
谢绝	xiè jué	انخفاض
心得	xīn dé	تجربة
心甘情愿	xīn gān qíng yuàn	عن طيب خاطر
心灵	xīn líng	الروح
心态	xīn tài	عقلية
心疼	xīn téng	محزن
心血	xīn xuè	عمل شاق
心眼儿	xīn yǎn r	إدراكا
新陈代谢	xīn chén dài xiè	التمثيل الغذائي
新郎	xīn láng	العريس
新娘	xīn niáng	عروس
新颖	xīn yǐng	رواية
欣慰	xīn wèi	ممتن
欣欣向荣	xīn xīn xiàng róng	مزدهرة
薪水	xīn shuǐ	راتب
辛勤	xīn qín	عمل شاق
信赖	xìn lài	ثقة
信念	xìn niàn	الاعتقاد
信仰	xìn yǎng	الإيمان
信誉	xìn yù	سمعة
兴高采烈	xīng gāo cǎi liè	مبتهج
兴隆	xīng lóng	مزدهر
兴旺	xīng wàng	مزدهرة
腥	xīng	مريب
刑事	xíng shì	مجرم
形态	xíng tài	شكل
行政	xíng zhèng	إداري
兴致勃勃	xìng zhì bó bó	فرح
性感	xìng gǎn	جنسي
性命	xìng mìng	الحياة
性能	xìng néng	أداء
凶恶	xiōng è	وحشي
凶手	xiōng shǒu	قاتل
汹涌	xiōng yǒng	عنيف
胸怀	xiōng huái	عقل
胸膛	xiōng táng	صدر
雄厚	xióng hòu	قوي
雄伟	xióng wěi	مهيب
修复	xiū fù	يصلح
修建	xiū jiàn	بناء
修养	xiū yǎng	تدريب
羞耻	xiū chǐ	عار
嗅觉	xiù jué	رائحة
绣	xiù	طرز
虚假	xū jiǎ	خاطئة
虚荣	xū róng	الغرور
虚伪	xū wěi	نفاق
需求	xū qiú	الطلب
须知	xū zhī	تنويه
许可	xǔ kě	رخصة
序言	xù yán	مقدمة
畜牧	xù mù	تربية الحيوان
酗酒	xù jiǔ	إدمان الكحول
喧哗	xuān huá	ضجة
宣誓	xuān shì	يحلف اليمين
宣扬	xuān yáng	عظ
悬挂	xuán guà	ايقاف عن العمل
悬念	xuán niàn	تشويق
悬殊	xuán shū	التفاوت
悬崖峭壁	xuán yá qiào bì	انجرافات
旋律	xuán lv4	لحن
旋转	xuán zhuǎn	غزل
选拔	xuǎn bá	اختيار
选举	xuǎn jǔ	انتخاب
选手	xuǎn shǒu	لاعب
炫耀	xuàn yào	متفاخر
削	xuē	يقطع
削弱	xuē ruò	تضعف
学说	xué shuō	نظرية
学位	xué wèi	بكالوريوس العلوم
雪上加霜	xuě shàng jiā shuāng	أسوأ
血压	xuè yā	ضغط الدم
熏陶	xūn táo	edify
寻觅	xún mì	تجد
巡逻	xún luó	دورية
循环	xún huán	دورة
循序渐进	xún xù jiàn jìn	خطوة بخطوة
压迫	yā pò	القهر
压岁钱	yā suì qián	أموال العام الجديد
压缩	yā suō	ضغط
压抑	yā yì	مكتئب
压榨	yā zhà	صحافة
压制	yā zhì	كبح
鸦雀无声	yā què wú shēng	صامتة
亚军	yà jūn	المركز الثاني
淹没	yān mò	المغمورة
烟花爆竹	yān huā bào zhú	مفرقعات نارية
严峻	yán jùn	شديدة
严寒	yán hán	نزلة برد حادة
严禁	yán jìn	يمنع منعا باتا
严厉	yán lì	شديدة
严密	yán mì	ضيق
岩石	yán shí	صخرة
延期	yán qī	تمديد
延伸	yán shēn	تمديد
延续	yán xù	استمر
沿海	yán hǎi	ساحلي
炎热	yán rè	الحار
言论	yán lùn	خطاب
掩盖	yǎn gài	التغطية
掩护	yǎn hù	التغطية
掩饰	yǎn shì	التستر
演变	yǎn biàn	تطور
演习	yǎn xí	ممارسه الرياضه
演绎	yǎn yì	المستقطع
演奏	yǎn zòu	تلعب
眼光	yǎn guāng	رؤية
眼色	yǎn sè	غمزة
眼神	yǎn shén	نظرة
厌恶	yàn wù	الاشمئزاز
验收	yàn shōu	قبول
验证	yàn zhèng	التحقق
氧气	yǎng qì	الأكسجين
样品	yàng pǐn	عينة
摇摆	yáo bǎi	تأرجح
摇滚	yáo gǔn	صخرة
谣言	yáo yán	شائعة
遥控	yáo kòng	جهاز التحكم
遥远	yáo yuǎn	بعيد
耀眼	yào yǎn	مبهر
要点	yào diǎn	نقطة
要命	yào mìng	رهيب
要素	yào sù	جزء
野蛮	yě mán	وحشية
野心	yě xīn	طموح
液体	yè tǐ	سائل
一流	yī liú	الصف الأول
一如既往	yī rú jì wǎng	كما هو الحال دائما
依旧	yī jiù	ما يزال
依据	yī jù	وفقا لل
依靠	yī kào	الاعتماد
依赖	yī lài	الاعتماد
依托	yī tuō	يعتمد على
衣裳	yī shang	ملابس
一度	yí dù	مره واحده
一贯	yí guàn	ثابتة
一目了然	yí mù liǎo rán	في لمحة
一向	yí xiàng	دائما
仪器	yí qì	أداة
仪式	yí shì	مراسم
疑惑	yí huò	شك
遗产	yí chǎn	التراث
遗传	yí chuán	وراثي
遗留	yí liú	ميراث
遗失	yí shī	ضائع
以便	yǐ biàn	لهذا السبب
以免	yǐ miǎn	حتى لا
以往	yǐ wǎng	في الماضي
以至	yǐ zhì	حتى في
以致	yǐ zhì	لهذا السبب
一帆风顺	yì fān fēng shùn	سلسة
一举两得	yì jǔ liǎng dé	ضرب عصفورين بحجر واحد
一丝不苟	yì sī bù gǒu	شديد الإنتباه للتفاصيل
亦	yì	أيضا
异常	yì cháng	غير طبيعي
意料	yì liào	متوقع
意识	yì shí	الوعي
意图	yì tú	الهدف
意味着	yì wèi zhe	يعني
意向	yì xiàng	الهدف
意志	yì zhì	إرادة
毅力	yì lì	عزيمة
毅然	yì rán	بحزم
翼	yì	جناح
阴谋	yīn móu	مؤامرة
音响	yīn xiǎng	صوت
引导	yǐn dǎo	يرشد
引擎	yǐn qíng	محرك
引用	yǐn yòng	اقتبس
隐蔽	yǐn bì	مخفي
隐患	yǐn huàn	الخطر الخفي
隐瞒	yǐn mán	إخفاء
隐私	yǐn sī	خصوصية
隐约	yǐn yuē	اغمى عليه
饮食	yǐn shí	حمية
婴儿	yīng ér	طفل
英明	yīng míng	حكيم
英勇	yīng yǒng	بطولي
盈利	yíng lì	الربح
迎面	yíng miàn	ارفع فوق
应酬	yìng chou	خلق صداقات
应邀	yìng yāo	كن مدعوا
庸俗	yōng sú	مبتذلة
拥护	yōng hù	الدعم
拥有	yōng yǒu	يملك
勇于	yǒng yú	شجاع
永恒	yǒng héng	أبدي
涌现	yǒng xiàn	يظهر
踊跃	yǒng yuè	بنشاط
用户	yòng hù	المستعمل
优胜劣汰	yōu shèng liè tài	البقاء للأصلح
优先	yōu xiān	أفضلية
优异	yōu yì	ممتاز
优越	yōu yuè	متفوق
忧郁	yōu yù	كآبة
油腻	yóu nì	دهني
油漆	yóu qī	رسم
犹如	yóu rú	كما لو
有条不紊	yǒu tiáo bù wěn	المنهجي او نظامى
幼稚	yòu zhì	ساذج
诱惑	yòu huò	مع المغريات
愚蠢	yú chǔn	سخيف
愚昧	yú mèi	جهل
渔民	yú mín	الصيادين
舆论	yú lùn	الرأي العام
与日俱增	yǔ rì jù zēng	يزداد يوما بعد يوم
宇宙	yǔ zhòu	كون
羽绒服	yǔ róng fú	سترة أسفل
寓言	yù yán	حكاية
愈	yù	شفاء - يشفى
欲望	yù wàng	رغبة
熨	yù	كى الملابس
玉	yù	يشم
预料	yù liào	متوقع
预期	yù qī	متوقع
预算	yù suàn	ميزانية
预先	yù xiān	تقدم
预言	yù yán	نبوءة
预兆	yù zhào	فأل
冤枉	yuān wang	مخطئ
元首	yuán shǒu	رئيس الدولة
元素	yuán sù	جزء
元宵节	yuán xiāo jié	مهرجان الفوانيس
原告	yuán gào	مدعى
原理	yuán lǐ	المبدأ
原始	yuán shǐ	أصلي
原先	yuán xiān	أصلي
园林	yuán lín	حديقة
圆满	yuán mǎn	اكتمال
源泉	yuán quán	مصدر
缘故	yuán gù	السبب
约束	yuē shù	قيد
乐谱	yuè pǔ	الموسيقى ورقة
岳母	yuè mǔ	حماة "أم الزوج أو أم الزوجة
孕育	yùn yù	ولدت
蕴藏	yùn cáng	يحتوي
运算	yùn suàn	عملية حسابية
运行	yùn xíng	يركض
酝酿	yùn niàng	تخمير
杂技	zá jì	بهلوانية
杂交	zá jiāo	تهجين
砸	zá	تحطيم
咋	zǎ	كيف
栽培	zāi péi	زراعة
灾难	zāi nàn	كارثة
宰	zǎi	ذبح
再接再厉	zài jiē zài lì	بذل جهود دؤوبة
在意	zài yì	رعاية
攒	zǎn	حفظ
暂且	zàn qiě	في الوقت الحاضر
赞叹	zàn tàn	معجب
赞助	zàn zhù	كفيل
糟蹋	zāo tà	يفسد
遭受	zāo shòu	يعاني
遭殃	zāo yāng	تعاني
遭遇	zāo yù	يواجه .. ينجز
噪音	zào yīn	الضوضاء
造型	zào xíng	النمذجة
责怪	zé guài	لوم
贼	zéi	السارق
增添	zēng tiān	أضف
赠送	zèng sòng	يتبرع
扎	zhā	ربطة عنق
扎实	zhā shi	صلب
渣	zhā	الخبث
眨	zhǎ	رمش
诈骗	zhà piàn	تزوير
摘要	zhāi yào	ملخص
债券	zhài quàn	كفالة
沾光	zhān guāng	تراجع
瞻仰	zhān yǎng	أشيد
展示	zhǎn shì	متفاخر
展望	zhǎn wàng	الآفاق
展现	zhǎn xiàn	متفاخر
崭新	zhǎn xīn	علامة تجارية جديدة
斩钉截铁	zhǎn dīng jié tiě	بشكل حاسم
占据	zhàn jù	تشغل
占领	zhàn lǐng	احتل
战斗	zhàn dòu	قتال
战略	zhàn lvè	إستراتيجية
战术	zhàn shù	تكتيكات
战役	zhàn yì	معركة
章程	zhāng chéng	الميثاق
帐篷	zhàng peng	خيمة
障碍	zhàng ài	عقبة
招标	zhāo biāo	مزايدة
招收	zhāo shōu	تجنيد
朝气蓬勃	zhāo qì péng bó	قوي
着迷	zháo mí	مفتون
沼泽	zhǎo zé	مستنقع
照样	zhào yàng	ما يزال
照耀	zhào yào	يلمع
折腾	zhē teng	رمى
遮挡	zhē dǎng	أغلق
折	zhé	يطوى
折磨	zhé mó	معذب
侦探	zhēn tàn	المحقق
斟酌	zhēn zhuó	يعتبر
珍贵	zhēn guì	ثمين
珍稀	zhēn xī	نادر
珍珠	zhēn zhū	لؤلؤة
真理	zhēn lǐ	حقيقة
真相	zhēn xiàng	الحقيقه
真挚	zhēn zhì	صادق
枕头	zhěn tou	وسادة
振奋	zhèn fèn	رفع
振兴	zhèn xīng	تنشيط
镇定	zhèn dìng	هدوء
镇静	zhèn jìng	هدوء
阵地	zhèn dì	موضع
阵容	zhèn róng	اصطفوا
震撼	zhèn hàn	صدمة
震惊	zhèn jīng	صدمة
争端	zhēng duān	خلاف
争夺	zhēng duó	خلاف
争气	zhēng qì	يفوز
争先恐后	zhēng xiān kǒng hòu	تخليط
争议	zhēng yì	خلاف
征服	zhēng fú	يغزو
征收	zhēng shōu	مجموعة
挣扎	zhēng zhá	صراع
正月	zhēng yuè	الشهر الأول
蒸发	zhēng fā	تبخر
整顿	zhěng dùn	صحح
政策	zhèng cè	سياسات
政权	zhèng quán	النظام الحاكم
正当	zhèng dāng	مبرر
正负	zhèng fù	ايجابي وسلبي
正规	zhèng guī	منتظم
正经	zhèng jing	جدي
正气	zhèng qì	نزاهه
正义	zhèng yì	عدالة
正宗	zhèng zōng	أصيل
症状	zhèng zhuàng	علامة مرض
证实	zhèng shí	تؤكد
证书	zhèng shū	شهادة
郑重	zhèng zhòng	رسميا
之际	zhī jì	بهذه المناسبة
支撑	zhī chēng	الدعم
支出	zhī chū	المصروفات
支流	zhī liú	الرافد
支配	zhī pèi	تسيطر
支援	zhī yuán	الدعم
支柱	zhī zhù	عمود
枝	zhī	فرع شجرة
知觉	zhī jué	المعرفة
知足常乐	zhī zú cháng lè	القناعة
脂肪	zhī fáng	سمين
侄子	zhí zi	ابن أخ
值班	zhí bān	في الخدمة
执行	zhí xíng	تم تنفيذها
执着	zhí zhuó	إصرار
殖民地	zhí mín dì	مستعمرة
直播	zhí bō	بث مباشر
直径	zhí jìng	قطر الدائرة
职能	zhí néng	وظيفة
职位	zhí wèi	موضع
职务	zhí wù	موضع
指标	zhǐ biāo	فهرس
指定	zhǐ dìng	حدد
指甲	zhǐ jia	الأظافر
指令	zhǐ lìng	تعليمات
指南针	zhǐ nán zhēn	بوصلة
指示	zhǐ shì	تعليمات
指望	zhǐ wàng	اعتمد على
指责	zhǐ zé	اتهم
制裁	zhì cái	العقوبات
制服	zhì fú	زى موحد
制约	zhì yuē	ضبط النفس
制止	zhì zhǐ	قف
志气	zhì qì	طموح
智力	zhì lì	الذكاء
智能	zhì néng	ذكي
智商	zhì shāng	معدل الذكاء
治安	zhì ān	القانون والنظام
治理	zhì lǐ	الحكم
滞留	zhì liú	البقاء
致辞	zhì cí	عنوان
致力	zhì lì	ملتزم ب
致使	zhì shǐ	سبب
中断	zhōng duàn	يقطع
中立	zhōng lì	محايد
中央	zhōng yāng	وسط
忠诚	zhōng chéng	وفاء
忠实	zhōng shí	مخلص
终点	zhōng diǎn	النهاية
终究	zhōng jiū	بعد كل ذلك
终身	zhōng shēn	مدى الحياة
终止	zhōng zhǐ	نهاية
衷心	zhōng xīn	مخلص
种子	zhǒng zi	بذرة
种族	zhǒng zú	سباق
肿瘤	zhǒng liú	ورم
众所周知	zhòng suǒ zhōu zhī	معروف
种植	zhòng zhí	يزرع
重心	zhòng xīn	مركز الجاذبية
周边	zhōu biān	المحيط
周密	zhōu mì	حذر
周年	zhōu nián	ذكرى سنوية
周期	zhōu qī	دورة
周折	zhōu zhé	التف حوله
周转	zhōu zhuǎn	دوران
州	zhōu	حالة
粥	zhōu	عصيدة
舟	zhōu	قارب
昼夜	zhòu yè	ليلا و نهارا
皱纹	zhòu wén	تجعد
株	zhū	التواء
诸位	zhū wèi	كل واحد
逐年	zhú nián	عاما بعد عام
主办	zhǔ bàn	مضيف
主导	zhǔ dǎo	قيادة
主管	zhǔ guǎn	مشرف
主流	zhǔ liú	التيار
主权	zhǔ quán	سيادة
主义	zhǔ yì	عقيدة
嘱咐	zhǔ fù	حض
拄	zhǔ	يعصر
住宅	zhù zhái	سكني
助理	zhù lǐ	مساعد مدير
助手	zhù shǒu	مساعد
注射	zhù shè	حقنة
注视	zhù shì	ينظر الى
注释	zhù shì	تعليق
注重	zhù zhòng	انتبه على
著作	zhù zuò	كتاب
铸造	zhù zào	يصب
驻扎	zhù zhā	متمركز
拽	zhuài	سحب
专长	zhuān cháng	الخبرة
专程	zhuān chéng	رحلة خاصة
专利	zhuān lì	براءة الإختراع
专题	zhuān tí	موضوع
砖	zhuān	قالب طوب
转达	zhuǎn dá	نقل
转让	zhuǎn ràng	نقل
转移	zhuǎn yí	نقل
转折	zhuǎn zhé	نقطة تحول
传记	zhuàn jì	سيرة شخصية
庄稼	zhuāng jià	المحاصيل
庄严	zhuāng yán	نمطي
庄重	zhuāng zhòng	نمطي
装备	zhuāng bèi	معدات
装卸	zhuāng xiè	التحميل والتفريغ
壮观	zhuàng guān	مذهل
壮丽	zhuàng lì	رائع
壮烈	zhuàng liè	بطولي
幢	zhuàng	بناء
追悼	zhuī dào	النصب التذكاري
追究	zhuī jiū	التحقيق
坠	zhuì	خريف
准则	zhǔn zé	القواعد الارشادية
卓越	zhuó yuè	تفوق
琢磨	zhuó mó	تأمل
着手	zhuó shǒu	شرع
着想	zhuó xiǎng	من أجل خاطر
着重	zhuó zhòng	قم بالتركيز على
姿态	zī tài	موقف سلوك
滋润	zī rùn	رطب
滋味	zī wèi	المذاق
资本	zī běn	رأس المال
资产	zī chǎn	الأصول
资深	zī shēn	أول
资助	zī zhù	التمويل
子弹	zǐ dàn	رصاصة
自卑	zì bēi	الدونية
自发	zì fā	من تلقاء نفسها
自力更生	zì lì gēng shēng	الاعتماد على الذات
自满	zì mǎn	راضية
自主	zì zhǔ	واثق من نفسه
宗教	zōng jiào	دين
宗旨	zōng zhǐ	غرض
棕色	zōng sè	بنى
踪迹	zōng jì	أثر
总而言之	zǒng ér yán zhī	الكل في الكل
总和	zǒng hé	مجموع
纵横	zòng héng	الرأسي والأفقي
走廊	zǒu láng	الرواق
走漏	zǒu lòu	تسرب
走私	zǒu sī	تهريب
揍	zòu	تغلب
租赁	zū lìn	عقد الإيجار
足以	zú yǐ	كافي
祖父	zǔ fù	جد
祖国	zǔ guó	الوطن
祖先	zǔ xiān	سلف
阻碍	zǔ ài	منع
阻拦	zǔ lán	قف
阻挠	zǔ náo	عرقلة
钻研	zuān yán	الخوض في
钻石	zuàn shí	الماس
嘴唇	zuǐ chún	شفاه
罪犯	zuì fàn	مجرم
尊严	zūn yán	كرامة
遵循	zūn xún	إتبع
作弊	zuò bì	الغش
作废	zuò fèi	باطل
作风	zuò fēng	أسلوب
作息	zuò xī	راحة
做主	zuò zhǔ	الكلمة الطلقات
座右铭	zuò yòu míng	شعار
